periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cycle Beads,DMPA-IM,DMPA-SC,Hormonal IUCD,Non-Hormonal IUCD,Implanon,Male Condoms,Female Condoms,EC Pills,COCs,POPs,Type
202001,Jan-20,202001,,vvOK1BxTbet,Baringo County,KE_County_30,,,2587.0,,,273.0,148.0,31398.0,109.0,183.0,1310.0,605.0,Consumption
202001,Jan-20,202001,,HMNARUV2CW4,Bomet County,KE_County_36,,,6013.0,,,19.0,793.0,23073.0,20.0,28.0,1605.0,238.0,Consumption
202001,Jan-20,202001,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,9.0,10182.0,,,85.0,623.0,266275.0,4348.0,125.0,2262.0,378.0,Consumption
202001,Jan-20,202001,,Tvf1zgVZ0K4,Busia County,KE_County_40,,,4207.0,,,116.0,245.0,44441.0,5.0,12.0,1313.0,225.0,Consumption
202001,Jan-20,202001,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2.0,1638.0,,,7.0,246.0,24707.0,107.0,65.0,316.0,80.0,Consumption
202001,Jan-20,202001,,PFu8alU2KWG,Embu County,KE_County_14,,,4724.0,,,407.0,118.0,32485.0,1084.0,17.0,4085.0,721.0,Consumption
202001,Jan-20,202001,,uyOrcHZBpW0,Garissa County,KE_County_7,,,296.0,,,10.0,40.0,180.0,,2.0,142.0,59.0,Consumption
202001,Jan-20,202001,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,6.0,7628.0,,,1274.0,601.0,71289.0,860.0,61.0,1457.0,260.0,Consumption
202001,Jan-20,202001,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,623.0,,,4.0,103.0,12019.0,50.0,7.0,119.0,23.0,Consumption
202001,Jan-20,202001,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,1.0,6804.0,,,269.0,515.0,28496.0,157.0,68.0,2364.0,556.0,Consumption
202001,Jan-20,202001,,BjC1xL40gHo,Kakamega County,KE_County_37,,4.0,7864.0,,,616.0,558.0,83000.0,1346.0,205.0,4098.0,568.0,Consumption
202001,Jan-20,202001,,ihZsJ8alvtb,Kericho County,KE_County_35,,,3073.0,,,34.0,142.0,31763.0,535.0,22.0,235.0,129.0,Consumption
202001,Jan-20,202001,,qKzosKQPl6G,Kiambu County,KE_County_22,,11.0,5898.0,,,1127.0,368.0,40215.0,367.0,433.0,5919.0,1890.0,Consumption
202001,Jan-20,202001,,nrI2khZx3d0,Kilifi County,KE_County_3,,1.0,11441.0,,,331.0,1237.0,74109.0,374.0,110.0,3615.0,370.0,Consumption
202001,Jan-20,202001,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,9.0,3778.0,,,297.0,30.0,15568.0,442.0,75.0,7639.0,1460.0,Consumption
202001,Jan-20,202001,,sPkRcDvhGWA,Kisii County,KE_County_45,,6.0,3806.0,,,461.0,806.0,92087.0,990.0,129.0,1911.0,142.0,Consumption
202001,Jan-20,202001,,tAbBVBbueqD,Kisumu County,KE_County_42,,,5753.0,,,260.0,1159.0,64081.0,154.0,363.0,2297.0,500.0,Consumption
202001,Jan-20,202001,,j8o6iO4Njsi,Kitui County,KE_County_15,,1.0,9733.0,,,42.0,1150.0,20452.0,1028.0,82.0,2702.0,262.0,Consumption
202001,Jan-20,202001,,N7YETT3A9r1,Kwale County,KE_County_2,,4.0,6071.0,,,15.0,359.0,17807.0,46.0,15.0,1056.0,786.0,Consumption
202001,Jan-20,202001,,xuFdFy6t9AH,Laikipia County,KE_County_31,,,2919.0,,,76.0,166.0,37381.0,1202.0,11.0,3577.0,735.0,Consumption
202001,Jan-20,202001,,NjWSbQTwys4,Lamu County,KE_County_5,,,1273.0,,,4.0,69.0,3251.0,89.0,8.0,379.0,22.0,Consumption
202001,Jan-20,202001,,yhCUgGcCcOo,Machakos County,KE_County_16,,2.0,7953.0,,,88.0,172.0,49998.0,86.0,65.0,5412.0,859.0,Consumption
202001,Jan-20,202001,,BoDytkJQ4Qi,Makueni County,KE_County_17,,2.0,8283.0,,,56.0,1478.0,42487.0,564.0,48.0,2029.0,137.0,Consumption
202001,Jan-20,202001,,R6f9znhg37c,Mandera County,KE_County_9,,2.0,130.0,,,,18.0,481.0,,31.0,292.0,38.0,Consumption
202001,Jan-20,202001,,Eey8fT4Im3y,Marsabit County,KE_County_10,,,227.0,,,,36.0,10406.0,54.0,21.0,602.0,15.0,Consumption
202001,Jan-20,202001,,JsH2bnvNt2d,Tana River County,KE_County_4,,,842.0,,,9.0,66.0,6645.0,,,153.0,38.0,Consumption
202001,Jan-20,202001,,XWALbfAPa6n,West Pokot County,KE_County_24,,,1216.0,,,,45.0,2316.0,300.0,2.0,226.0,20.0,Consumption
202001,Jan-20,202001,,CeLsrJOH0g9,Wajir County,KE_County_8,,,359.0,,,,48.0,2809.0,,1.0,743.0,23.0,Consumption
202001,Jan-20,202001,,sANMZ3lpqGs,Vihiga County,KE_County_38,,,2167.0,,,104.0,230.0,51374.0,1.0,8.0,787.0,106.0,Consumption
202001,Jan-20,202001,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,11220.0,6690.0,,,386.0,707.0,60373.0,122.0,29.0,4385.0,719.0,Consumption
202001,Jan-20,202001,,kphDeKClFch,Turkana County,KE_County_23,,18.0,1292.0,,,4.0,10671.0,18645.0,136.0,66.0,742.0,67.0,Consumption
202001,Jan-20,202001,,mThvosEflAU,Trans Nzoia County,KE_County_26,,17.0,4161.0,,,224.0,57.0,58948.0,266.0,31.0,2212.0,206.0,Consumption
