periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 747A_Cycle Beads Dispensed,MOH 747A_DMPA-IM Dispensed,MOH 747A_DMPA-SC Dispensed,MOH 747A_Emergency Contraceptive pills Dispensed,MOH 747A_Female Condoms Dispensed,MOH 747A_Hormonal IUCD Dispensed,MOH 747A_Implant (2-Rod) – LNG 75mg (5 years) Dispensed,MOH 747A_Implants (1-Rod) – ENG 68mg Dispensed,MOH 747A_Implants (2-Rod) - LNG 75mg (3 years) Dispensed,MOH 747A_Male Condoms Dispensed,MOH 747A_Non-Hormonal IUCD Dispensed,MOH 747A_Others Dispensed,MOH 747A_Progestin only pills Dispensed,MOH 747A_Combined Oral contraceptive Pills Dispensed
202001,Jan-20,202001,,vvOK1BxTbet,Baringo County,KE_County_30,,,2587,,183,109,,349,148,,31398,273,,605,1310
202001,Jan-20,202001,,HMNARUV2CW4,Bomet County,KE_County_36,,,6013,,28,20,,389,793,,23073,19,,238,1605
202001,Jan-20,202001,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,9,10182,,125,4348,,2236,623,,266275,85,,378,2262
202001,Jan-20,202001,,Tvf1zgVZ0K4,Busia County,KE_County_40,,,4207,,12,5,,647,245,,44441,116,,225,1313
202001,Jan-20,202001,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,2,1638,,65,107,,263,246,,24707,7,,80,316
202001,Jan-20,202001,,PFu8alU2KWG,Embu County,KE_County_14,,,4724,,17,1084,,621,118,,32485,407,,721,4085
202001,Jan-20,202001,,uyOrcHZBpW0,Garissa County,KE_County_7,,,296,,2,,,19,40,,180,10,,59,142
202001,Jan-20,202001,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,6,7628,,61,860,,1461,601,,71289,1274,4,260,1457
202001,Jan-20,202001,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,623,,7,50,,25,103,,12019,4,,23,119
202001,Jan-20,202001,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,1,6804,,68,157,,919,515,,28496,269,,556,2364
202001,Jan-20,202001,,BjC1xL40gHo,Kakamega County,KE_County_37,,4,7864,,205,1346,,2196,558,,83000,616,34,568,4098
202001,Jan-20,202001,,ihZsJ8alvtb,Kericho County,KE_County_35,,,3073,,22,535,,373,142,,31763,34,,129,235
202001,Jan-20,202001,,qKzosKQPl6G,Kiambu County,KE_County_22,,11,5898,,433,367,,1534,368,,40215,1127,11,1890,5919
202001,Jan-20,202001,,nrI2khZx3d0,Kilifi County,KE_County_3,,1,11441,,110,374,,1440,1237,,74109,331,27,370,3615
202001,Jan-20,202001,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,9,3778,,75,442,,553,30,,15568,297,,1460,7639
