periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 711 Rev 2020_Clients given cycle beads,MOH 711 Rev 2020_FP Injections DMPA- IM,MOH 711 Rev 2020_FP Injections DMPA- SC,MOH 711 Rev 2020_IUCD Insertion Hormonal,MOH 711 Rev 2020_IUCD Insertion Non Hormonal,MOH 711 Rev 2020_Implants insertion 1 Rod,MOH 711 Rev 2020_Implants insertion 2 Rod,MOH 711 Client receiving Male condoms,MOH 711 Clients receiving Female Condoms,MOH 711 Emergency contraceptive pill,MOH 711 Pills Combined oral contraceptive,MOH 711 Pills progestin only
202001,January 2020,202001,,vvOK1BxTbet,Baringo County,KE_County_30,,,,,,,,,481,31,183,381,78
202001,January 2020,202001,,HMNARUV2CW4,Bomet County,KE_County_36,,,,,,,,,1421,,38,563,45
202001,January 2020,202001,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,,,,,,,,1359,46,331,1120,263
202001,January 2020,202001,,Tvf1zgVZ0K4,Busia County,KE_County_40,,,,,,,,,194,14,42,730,106
202001,January 2020,202001,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,,,,,,,,8,12,13,223,22
202001,January 2020,202001,,PFu8alU2KWG,Embu County,KE_County_14,,,,,,,,,68,2,24,1671,380
202001,January 2020,202001,,uyOrcHZBpW0,Garissa County,KE_County_7,,,,,,,,,55,,4,256,85
202001,January 2020,202001,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,,,,,,,,343,19,56,727,148
202001,January 2020,202001,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,,,,,,,542,2,34,149,13
202001,January 2020,202001,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,,,,,,,,825,22,352,1935,488
202001,January 2020,202001,,BjC1xL40gHo,Kakamega County,KE_County_37,,,,,,,,,1089,60,194,1820,466
202001,January 2020,202001,,ihZsJ8alvtb,Kericho County,KE_County_35,,,,,,,,,241,17,28,138,108
202001,January 2020,202001,,qKzosKQPl6G,Kiambu County,KE_County_22,,,,,,,,,2252,124,602,4496,1895
202001,January 2020,202001,,nrI2khZx3d0,Kilifi County,KE_County_3,,,,,,,,,418,52,93,1333,224
202001,January 2020,202001,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,,45,,4,,,6,156,15,80,2942,807
202001,January 2020,202001,,o36zCRjSd4G,Samburu County,KE_County_25,,,,,,,,,133,87,72,170,39
202001,January 2020,202001,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,,,,,,,715,32,153,2860,730
202001,January 2020,202001,,uepLTG8wGWJ,Nyamira County,KE_County_46,,,,,,,,,1945,137,118,1044,130
202001,January 2020,202001,,kqJ83J2D72s,Narok County,KE_County_33,,,,,,,,,1010,65,95,472,105
202001,January 2020,202001,,t0J75eHKxz5,Nandi County,KE_County_29,,,,,,,,,1465,18,219,815,115
202001,January 2020,202001,,mYZacFNIB3h,Nyandarua County,KE_County_18,,,,,,,,,418,17,194,1370,823
202001,January 2020,202001,,ob6SxuRcqU4,Nakuru County,KE_County_32,,,,,,,,,2809,207,686,3325,1159
202001,January 2020,202001,,jkG3zaihdSs,Nairobi County,KE_County_47,,,37,,,,,,16033,730,512,7848,3417
202001,January 2020,202001,,ahwTMNAJvrL,Muranga County,KE_County_21,,,,,,,,,282,25,105,2548,559
202001,January 2020,202001,,wsBsC6gjHvn,Mombasa County,KE_County_1,,,,,,,,,633,82,80,1385,240
202001,January 2020,202001,,fVra3Pwta0Q,Migori County,KE_County_44,,,,,,,,,1056,61,46,408,55
202001,January 2020,202001,,Y52XNJ50hYb,Meru County,KE_County_12,,,,,,,,,2861,74,364,1276,273
202001,January 2020,202001,,Eey8fT4Im3y,Marsabit County,KE_County_10,,,,,,8,1,19,389,,20,143,15
202001,January 2020,202001,,R6f9znhg37c,Mandera County,KE_County_9,,,11,,,,,,252,,74,407,115
202001,January 2020,202001,,BoDytkJQ4Qi,Makueni County,KE_County_17,,,,,,,,,672,7,255,1038,269
202001,January 2020,202001,,yhCUgGcCcOo,Machakos County,KE_County_16,,,,,,,,,2300,34,339,3792,752
202001,January 2020,202001,,u4t9H8XyU9P,Siaya County,KE_County_41,,,,,,,,,1020,41,43,559,51
202001,January 2020,202001,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,,,,,,,,403,3,60,469,29
202001,January 2020,202001,,JsH2bnvNt2d,Tana River County,KE_County_4,,,,,,,,,187,19,2,103,29
202001,January 2020,202001,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,,,,,,,,3151,3,51,672,99
202001,January 2020,202001,,mThvosEflAU,Trans Nzoia County,KE_County_26,,,91,,,,,,824,25,43,840,133
202001,January 2020,202001,,kphDeKClFch,Turkana County,KE_County_23,,,,,,,,,968,71,68,273,154
202001,January 2020,202001,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,,,,,,,,583,14,107,1751,339
202001,January 2020,202001,,sANMZ3lpqGs,Vihiga County,KE_County_38,,,,,,,,,474,8,49,316,47
202001,January 2020,202001,,CeLsrJOH0g9,Wajir County,KE_County_8,,,,,,,,,166,,4,158,32
202001,January 2020,202001,,XWALbfAPa6n,West Pokot County,KE_County_24,,,,,,,,,46,3,5,137,41
202001,January 2020,202001,,sPkRcDvhGWA,Kisii County,KE_County_45,,,,,,,,,1563,73,243,1211,151
202001,January 2020,202001,,tAbBVBbueqD,Kisumu County,KE_County_42,,,,,,,,,669,66,147,1091,211
202001,January 2020,202001,,j8o6iO4Njsi,Kitui County,KE_County_15,,,,,,,,,965,110,154,1048,178
202001,January 2020,202001,,N7YETT3A9r1,Kwale County,KE_County_2,,,,,,,,,1235,11,20,551,76
202001,January 2020,202001,,xuFdFy6t9AH,Laikipia County,KE_County_31,,,,,,,,,270,33,10,988,286
202001,January 2020,202001,,NjWSbQTwys4,Lamu County,KE_County_5,,,,,,,,,105,,30,296,24
202002,February 2020,202002,,vvOK1BxTbet,Baringo County,KE_County_30,,,,,,,,,533,7,214,352,67
202002,February 2020,202002,,HMNARUV2CW4,Bomet County,KE_County_36,,,,,,,,,195,,130,551,98
202002,February 2020,202002,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,,,,,,,,1114,160,170,1058,538
202002,February 2020,202002,,Tvf1zgVZ0K4,Busia County,KE_County_40,,,,,,,,,213,4,17,784,202
202002,February 2020,202002,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,,,,,,,,8,2,19,238,23
202002,February 2020,202002,,PFu8alU2KWG,Embu County,KE_County_14,,,,,,,,,62,12,93,1319,411
202002,February 2020,202002,,uyOrcHZBpW0,Garissa County,KE_County_7,,,,,,,,,82,5,1,164,62
202002,February 2020,202002,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,,,,,,,,1480,36,97,694,136
202002,February 2020,202002,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,,,,,,,584,,15,72,13
202002,February 2020,202002,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,,,,,,,,398,6,201,1423,427
202002,February 2020,202002,,BjC1xL40gHo,Kakamega County,KE_County_37,,,,,,,,,786,30,155,1706,679
202002,February 2020,202002,,ihZsJ8alvtb,Kericho County,KE_County_35,,,,,,,,,588,211,7,121,68
202002,February 2020,202002,,qKzosKQPl6G,Kiambu County,KE_County_22,,,,,,,,,2308,40,589,5170,2271
202002,February 2020,202002,,nrI2khZx3d0,Kilifi County,KE_County_3,,,,,,,,,466,23,49,1203,224
202002,February 2020,202002,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,,33,,,,,,267,9,137,2612,759
202002,February 2020,202002,,o36zCRjSd4G,Samburu County,KE_County_25,,,,,,,,,69,1,78,130,72
202002,February 2020,202002,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,,,,,,,6696,44,156,2375,643
202002,February 2020,202002,,uepLTG8wGWJ,Nyamira County,KE_County_46,,,,,,,,,1598,85,173,871,155
202002,February 2020,202002,,kqJ83J2D72s,Narok County,KE_County_33,,,,,,,,,874,45,132,379,93
202002,February 2020,202002,,t0J75eHKxz5,Nandi County,KE_County_29,,,,,,,,,1475,25,379,798,136
202002,February 2020,202002,,mYZacFNIB3h,Nyandarua County,KE_County_18,,,,,,,,,334,25,80,1312,459
202002,February 2020,202002,,ob6SxuRcqU4,Nakuru County,KE_County_32,,,43,,,24,,,2723,200,435,3137,1288
202002,February 2020,202002,,jkG3zaihdSs,Nairobi County,KE_County_47,,,32,,,,,,17230,927,621,7745,3484
202002,February 2020,202002,,ahwTMNAJvrL,Muranga County,KE_County_21,,,,,,,,,259,16,187,2539,526
202002,February 2020,202002,,wsBsC6gjHvn,Mombasa County,KE_County_1,,,,,,,,,1235,146,59,1704,270
